"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/f26a992a-a661-4697-bfa4-7ca7f400b929-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Evelone192","1825609845","67035","108037","27233","2399418","950334","58396890","Community","true","Russian","https://www.twitch.tv/evelone192"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/f700cd74-e74c-42a4-ba5b-18efb486eb92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","1820752545","93675","81926","19436","8581081","2247446","50119640","Partner","false","English","https://www.twitch.tv/clix"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/0b0601ac-1ec9-4d63-89a4-f8d3d14e6e78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mizkif","1737593715","146370","110172","11870","2156606","635429","24439339","Partner","false","English","https://www.twitch.tv/mizkif"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Symfuhny","1677642645","166605","46532","10069","4124272","1055511","27717285","Partner","false","English","https://www.twitch.tv/symfuhny"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/d8a3e3e9-f70a-4634-bd59-b4a1cab834de-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fps_shaka","1669998255","228015","43732","7323","1664867","191090","30991931","Partner","false","Japanese","https://www.twitch.tv/fps_shaka"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/f053b900-403f-487a-875d-dcf107710cd0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dota2mc","1653852750","77295","182869","21396","695245","175480","43801441","Partner","false","Russian","https://www.twitch.tv/dota2mc"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/0b80383f-5229-4e31-a475-d92cc1f81dae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NOBRU","1636223115","70455","293803","23223","3795127","2472631","14071155","Community","false","Portuguese","https://www.twitch.tv/nobru"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MOONMOON","1629985590","122385","29193","13318","1183323","147659","13826887","Partner","false","English","https://www.twitch.tv/moonmoon"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/69e324f6-fc7d-4131-89ed-227a955637cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gotaga","1618767000","140820","111251","11494","4640276","730747","42979674","Partner","false","French","https://www.twitch.tv/gotaga"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/3b6094ef-a538-42c9-ad59-25a0fe719ee2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Solary","1570110630","497670","23197","3154","688824","131137","47709527","Partner","false","French","https://www.twitch.tv/solary"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","OgamingLoL","1552530510","447945","134521","3465","536281","106409","69208200","Partner","false","French","https://www.twitch.tv/ogaminglol"
